"Day ","Items ","Note ","Amount "
"78","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11985 ","-57000"
"78","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11993 ","-121920"
"78","Wholesales (B2B)","Revenue - B2B SO ID: 10929","743700"
"78","Wholesales (B2B)","Revenue - B2B SO ID: 11293","357000"
"78","Overdraft","Repayment","-625000"
"78","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"78","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"78","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"78","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"78","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"78","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"78","Salary Expense","Cash Payment - Salary Expense","-38299"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12167","-17"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12187","-16"
"78","Retail","Revenue - Retail Sales New York - Mouthwash","56699"
"78","Retail","Revenue - Retail Sales New York - Body Wash  ","57936"
"78","Retail","Revenue - Retail Sales New York - Shampoo","54912"
"78","Retail","Revenue - Retail Sales Detroit - Mouthwash","43800"
"78","Retail","Revenue - Retail Sales Detroit - Body Wash  ","25893"
"78","Retail","Revenue - Retail Sales Detroit - Shampoo","29880"
"78","Retail","Revenue - Retail Sales Chicago - Mouthwash","24956"
"78","Retail","Revenue - Retail Sales Chicago - Body Wash  ","20328"
"78","Retail","Revenue - Retail Sales Chicago - Shampoo","20124"
"78","Rental Expense","Cash Payment - Rental - New York","-10720"
"78","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"78","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-1024"
"78","Rental Expense","Cash Payment - Rental - Miami","-3600"
"78","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"77","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11784 ","-512000"
"77","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11972 ","-736000"
"77","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12156 ","-106400"
"77","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12156 ","-137600"
"77","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12174 ","-380800"
"77","Overdraft","","1250000"
"77","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12174 ","-537600"
"77","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"77","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"77","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"77","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"77","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"77","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"77","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"77","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"77","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"77","Salary Expense","Cash Payment - Salary Expense","-38299"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11092","-168"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11116","-176"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11974","-318"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11986","-164"
"77","Retail","Revenue - Retail Sales New York - Mouthwash","18600"
"77","Overdraft","Repayment","-625000"
"77","Retail","Revenue - Retail Sales New York - Body Wash  ","22270"
"77","Retail","Revenue - Retail Sales New York - Shampoo","20514"
"77","Retail","Revenue - Retail Sales Detroit - Mouthwash","16550"
"77","Retail","Revenue - Retail Sales Detroit - Body Wash  ","8370"
"77","Retail","Revenue - Retail Sales Detroit - Shampoo","10770"
"77","Retail","Revenue - Retail Sales Chicago - Mouthwash","9588"
"77","Retail","Revenue - Retail Sales Chicago - Body Wash  ","7359"
"77","Retail","Revenue - Retail Sales Chicago - Shampoo","7452"
"77","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 9078","-5500"
"77","Interest Expense ","Cash Payment - Interest - For Overdraft","-1027"
"77","Rental Expense","Cash Payment - Rental - New York","-10720"
"77","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"77","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-1760"
"77","Rental Expense","Cash Payment - Rental - Miami","-3600"
"77","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"76","Sales E Commerce","Revenue - ECM SO ID: 11234","6624"
"76","Sales E Commerce","Revenue - ECM SO ID: 11280","37757"
"76","Sales E Commerce","Revenue - ECM SO ID: 11285","29118"
"76","Sales E Commerce","Revenue - ECM SO ID: 11297","36195"
"76","Sales E Commerce","Revenue - ECM SO ID: 11309","15550"
"76","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11748 ","-112000"
"76","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11779 ","-112000"
"76","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11805 ","-57600"
"76","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11805 ","-67200"
"76","Wholesales (B2B)","Revenue - B2B SO ID: 10953","550000"
"76","Wholesales (B2B)","Revenue - B2B SO ID: 11107","344300"
"76","Human Resource Expense","Counselled","-2000"
"76","Human Resource Expense","Counselled","-2000"
"76","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11969 ","-75000"
"76","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11969 ","-85000"
"76","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11969 ","-57000"
"76","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"76","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"76","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"76","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"76","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"76","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"76","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"76","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"76","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"76","Salary Expense","Cash Payment - Salary Expense","-38184"
"76","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11459","-128"
"76","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11774","-57"
"76","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11786","-116"
"76","Retail","Revenue - Retail Sales New York - Mouthwash","18724"
"76","Retail","Revenue - Retail Sales New York - Body Wash  ","21794"
"76","Retail","Revenue - Retail Sales New York - Shampoo","18135"
"76","Retail","Revenue - Retail Sales Detroit - Mouthwash","18275"
"76","Retail","Revenue - Retail Sales Detroit - Body Wash  ","9153"
"76","Retail","Revenue - Retail Sales Detroit - Shampoo","9960"
"76","Retail","Revenue - Retail Sales Chicago - Mouthwash","9520"
"76","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6765"
"76","Retail","Revenue - Retail Sales Chicago - Shampoo","6624"
"76","Rental Expense","Cash Payment - Rental - New York","-10720"
"76","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"76","Rental Expense","Cash Payment - Rental - Miami","-3600"
"76","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"75","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11430 ","-60000"
"75","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11464 ","-120000"
"75","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11633 ","-384000"
"75","Wholesales (B2B)","Revenue - B2B SO ID: 10570","741200"
"75","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 10570","-5000"
"75","Wholesales (B2B)","Revenue - B2B SO ID: 11439","822090"
"75","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"75","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"75","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"75","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"75","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"75","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"75","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"75","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"75","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"75","Salary Expense","Cash Payment - Salary Expense","-38162"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11432","-181"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11445","-98"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11491","-22"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11625","-93"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11631","-97"
"75","Retail","Revenue - Retail Sales New York - Mouthwash","18104"
"75","Retail","Revenue - Retail Sales New York - Body Wash  ","22848"
"75","Retail","Revenue - Retail Sales New York - Shampoo","19188"
"75","Retail","Revenue - Retail Sales Detroit - Mouthwash","16225"
"75","Retail","Revenue - Retail Sales Detroit - Body Wash  ","8964"
"75","Retail","Revenue - Retail Sales Detroit - Shampoo","10260"
"75","Retail","Revenue - Retail Sales Chicago - Mouthwash","8772"
"75","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6534"
"75","Retail","Revenue - Retail Sales Chicago - Shampoo","7200"
"75","Rental Expense","Cash Payment - Rental - New York","-10720"
"75","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"75","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-220"
"75","Rental Expense","Cash Payment - Rental - Miami","-3600"
"75","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"74","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11149 ","-26280"
"74","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"74","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"74","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"74","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"74","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"74","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"74","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"74","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"74","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"74","Salary Expense","Cash Payment - Salary Expense","-38095"
"74","Retail","Revenue - Retail Sales New York - Mouthwash","19189"
"74","Retail","Revenue - Retail Sales New York - Body Wash  ","22202"
"74","Retail","Revenue - Retail Sales New York - Shampoo","19383"
"74","Retail","Revenue - Retail Sales Detroit - Mouthwash","17950"
"74","Retail","Revenue - Retail Sales Detroit - Body Wash  ","8613"
"74","Retail","Revenue - Retail Sales Detroit - Shampoo","10170"
"74","Retail","Revenue - Retail Sales Chicago - Mouthwash","9622"
"74","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6864"
"74","Retail","Revenue - Retail Sales Chicago - Shampoo","6912"
"74","Rental Expense","Cash Payment - Rental - New York","-10720"
"74","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"74","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-1264"
"74","Rental Expense","Cash Payment - Rental - Miami","-3600"
"74","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"73","Sales E Commerce","Revenue - ECM SO ID: 10740","19958"
"73","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11091 ","-58400"
"73","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11283 ","-35280"
"73","Wholesales (B2B)","Revenue - B2B SO ID: 10561","673200"
"73","Wholesales (B2B)","Revenue - B2B SO ID: 11089","322703"
"73","Overdraft","Repayment","-625000"
"73","Human Resource Expense","Counselled","-2000"
"73","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11450 ","-48000"
"73","Human Resource Expense","Counselled","-2000"
"73","Human Resource Expense","Counselled","-2000"
"73","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"73","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"73","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"73","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"73","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"73","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"73","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"73","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"73","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"73","Salary Expense","Cash Payment - Salary Expense","-38074"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11234","-66"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11280","-378"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11285","-291"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11297","-362"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11309","-156"
"73","Retail","Revenue - Retail Sales New York - Mouthwash","19344"
"73","Retail","Revenue - Retail Sales New York - Body Wash  ","19176"
"73","Retail","Revenue - Retail Sales New York - Shampoo","19773"
"73","Retail","Revenue - Retail Sales Detroit - Mouthwash","17600"
"73","Retail","Revenue - Retail Sales Detroit - Body Wash  ","8370"
"73","Retail","Revenue - Retail Sales Detroit - Shampoo","9750"
"73","Retail","Revenue - Retail Sales Chicago - Mouthwash","8976"
"73","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6600"
"73","Retail","Revenue - Retail Sales Chicago - Shampoo","6840"
"73","Services","Revenue - Service Sales Order ID: 9581","17200"
"73","Rental Expense","Cash Payment - Rental - New York","-10720"
"73","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"73","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-1184"
"73","Rental Expense","Cash Payment - Rental - Miami","-3600"
"73","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"72","Sales E Commerce","Revenue - ECM SO ID: 10501","27579"
"72","Sales E Commerce","Revenue - ECM SO ID: 10544","698"
"72","Sales E Commerce","Revenue - ECM SO ID: 10554","9133"
"72","Sales E Commerce","Revenue - ECM SO ID: 10556","3175"
"72","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10926 ","-48000"
"72","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10926 ","-56000"
"72","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11269 ","-30240"
"72","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"72","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"72","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"72","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"72","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"72","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"72","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"72","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"72","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"72","Salary Expense","Cash Payment - Salary Expense","-37830"
"72","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 283","-15000"
"72","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 286","-15000"
"72","Retail","Revenue - Retail Sales New York - Mouthwash","18941"
"72","Retail","Revenue - Retail Sales New York - Body Wash  ","18768"
"72","Retail","Revenue - Retail Sales New York - Shampoo","19383"
"72","Retail","Revenue - Retail Sales Detroit - Mouthwash","16225"
"72","Retail","Revenue - Retail Sales Detroit - Body Wash  ","8964"
"72","Retail","Revenue - Retail Sales Detroit - Shampoo","9750"
"72","Retail","Revenue - Retail Sales Chicago - Mouthwash","9520"
"72","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6336"
"72","Retail","Revenue - Retail Sales Chicago - Shampoo","6588"
"72","Interest Expense ","Cash Payment - Interest - For Overdraft","-1027"
"72","Rental Expense","Cash Payment - Rental - New York","-10720"
"72","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"72","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-2116"
"72","Rental Expense","Cash Payment - Rental - Miami","-3600"
"72","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"71","Sales E Commerce","Revenue - ECM SO ID: 10389","8809"
"71","Sales E Commerce","Revenue - ECM SO ID: 10400","24733"
"71","Sales E Commerce","Revenue - ECM SO ID: 10407","16781"
"71","Sales E Commerce","Revenue - ECM SO ID: 10416","13488"
"71","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10670 ","-329600"
"71","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10942 ","-45000"
"71","Overdraft","","1250000"
"71","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10942 ","-85000"
"71","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10942 ","-95000"
"71","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11106 ","-57600"
"71","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11106 ","-58400"
"71","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"71","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"71","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"71","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"71","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"71","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"71","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"71","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"71","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"71","Salary Expense","Cash Payment - Salary Expense","-37511"
"71","Retail","Revenue - Retail Sales New York - Mouthwash","20274"
"71","Overdraft","Repayment","-625000"
"71","Retail","Revenue - Retail Sales New York - Body Wash  ","18648"
"71","Retail","Revenue - Retail Sales New York - Shampoo","19461"
"71","Retail","Revenue - Retail Sales Detroit - Mouthwash","16700"
"71","Retail","Revenue - Retail Sales Detroit - Body Wash  ","9483"
"71","Retail","Revenue - Retail Sales Detroit - Shampoo","10560"
"71","Retail","Revenue - Retail Sales Chicago - Mouthwash","8670"
"71","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6475"
"71","Retail","Revenue - Retail Sales Chicago - Shampoo","7272"
"71","Services","Revenue - Service Sales Order ID: 9433","87500"
"71","Interest Expense ","Cash Payment - Interest - For Overdraft","-1027"
"71","Rental Expense","Cash Payment - Rental - New York","-10720"
"71","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"71","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-1784"
"71","Rental Expense","Cash Payment - Rental - Miami","-3600"
"71","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"70","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10425 ","-75000"
"70","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10569 ","-57280"
"70","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10737 ","-192000"
"70","Human Resource Expense","Counselled","-2000"
"70","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"70","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"70","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"70","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"70","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"70","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"70","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"70","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"70","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"70","Salary Expense","Cash Payment - Salary Expense","-36575"
"70","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10740","-200"
"70","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 344","-15000"
"70","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 391","-15000"
"70","Retail","Revenue - Retail Sales New York - Mouthwash","18724"
"70","Retail","Revenue - Retail Sales New York - Body Wash  ","18828"
"70","Retail","Revenue - Retail Sales New York - Shampoo","19110"
"70","Retail","Revenue - Retail Sales Detroit - Mouthwash","17925"
"70","Retail","Revenue - Retail Sales Detroit - Body Wash  ","9193"
"70","Retail","Revenue - Retail Sales Detroit - Shampoo","10350"
"70","Retail","Revenue - Retail Sales Chicago - Mouthwash","9146"
"70","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6580"
"70","Retail","Revenue - Retail Sales Chicago - Shampoo","7164"
"70","Rental Expense","Cash Payment - Rental - New York","-10720"
"70","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"70","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-1356"
"70","Rental Expense","Cash Payment - Rental - Miami","-3600"
"70","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"69","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10418 ","-96640"
"69","Wholesales (B2B)","Revenue - B2B SO ID: 9736","104000"
"69","Machines","Cash Payment - Machines","-300000"
"69","Human Resource Expense","Cash Payment - Staff Recruiting - Production","-30000"
"69","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"69","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"69","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"69","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"69","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"69","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"69","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"69","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"69","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"69","Salary Expense","Cash Payment - Salary Expense","-36575"
"69","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10501","-276"
"69","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10544","-7"
"69","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10554","-91"
"69","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10556","-32"
"69","Retail","Revenue - Retail Sales New York - Mouthwash","20398"
"69","Retail","Revenue - Retail Sales New York - Body Wash  ","17892"
"69","Retail","Revenue - Retail Sales New York - Shampoo","17784"
"69","Retail","Revenue - Retail Sales Detroit - Mouthwash","17016"
"69","Retail","Revenue - Retail Sales Detroit - Body Wash  ","9520"
"69","Retail","Revenue - Retail Sales Detroit - Shampoo","9483"
"69","Retail","Revenue - Retail Sales Chicago - Mouthwash","8976"
"69","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6426"
"69","Retail","Revenue - Retail Sales Chicago - Shampoo","7140"
"69","Services","Revenue - Service Sales Order ID: 9055","54700"
"69","Services","Revenue - Service Sales Order ID: 9564","45100"
"69","Rental Expense","Cash Payment - Rental - New York","-10720"
"69","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"69","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-1100"
"69","Rental Expense","Cash Payment - Rental - Miami","-3600"
"69","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"68","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10546 ","-45000"
"68","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10546 ","-17000"
"68","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10546 ","-19000"
"68","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"68","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"68","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"68","Salary Expense","Cash Payment - Salary Expense","-35834"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10389","-88"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10400","-247"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10407","-168"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10416","-135"
"68","Retail","Revenue - Retail Sales New York - Mouthwash","20490"
"68","Retail","Revenue - Retail Sales New York - Body Wash  ","18865"
"68","Retail","Revenue - Retail Sales New York - Shampoo","19494"
"68","Retail","Revenue - Retail Sales Detroit - Mouthwash","14329"
"68","Retail","Revenue - Retail Sales Detroit - Body Wash  ","8748"
"68","Retail","Revenue - Retail Sales Detroit - Shampoo","9016"
"68","Retail","Revenue - Retail Sales Chicago - Mouthwash","7488"
"68","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6006"
"68","Retail","Revenue - Retail Sales Chicago - Shampoo","6970"
"68","Rental Expense","Cash Payment - Rental - New York","-10720"
"68","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"68","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-132"
"68","Rental Expense","Cash Payment - Rental - Miami","-3600"
"68","Rental Expense","Cash Payment - Rental - Chicago","-2960"
"67","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10074 ","-109120"
"67","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 10090 ","-39040"
"67","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10412 ","-75000"
"67","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10412 ","-85000"
"67","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 10412 ","-95000"
"67","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"67","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"67","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"67","Salary Expense","Cash Payment - Salary Expense","-35834"
"67","Retail","Revenue - Retail Sales New York - Mouthwash","19350"
"67","Retail","Revenue - Retail Sales New York - Body Wash  ","19250"
"67","Retail","Revenue - Retail Sales New York - Shampoo","19342"
"67","Retail","Revenue - Retail Sales Detroit - Mouthwash","14040"
"67","Retail","Revenue - Retail Sales Detroit - Body Wash  ","8684"
"67","Retail","Revenue - Retail Sales Detroit - Shampoo","9870"
"67","Retail","Revenue - Retail Sales Chicago - Mouthwash","8032"
"67","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6171"
"67","Retail","Revenue - Retail Sales Chicago - Shampoo","6834"
"67","Services","Revenue - Service Sales Order ID: 9236","31800"
"67","Rental Expense","Cash Payment - Rental - New York","-10720"
